"Week Start Date","Doses Administered Per Week","Cumulative Total Doses Administered, by week","reportedDate","webDate"
"Unknown/missing",750,750,"9/29/2021",2021-10-01
"12/13/2020",5716,6466,"9/29/2021",2021-10-01
"12/20/2020",37604,44070,"9/29/2021",2021-10-01
"12/27/2020",52164,96234,"9/29/2021",2021-10-01
"1/3/2021",77583,173817,"9/29/2021",2021-10-01
"1/10/2021",91182,264999,"9/29/2021",2021-10-01
"1/17/2021",127451,392450,"9/29/2021",2021-10-01
"1/24/2021",208194,600644,"9/29/2021",2021-10-01
"1/31/2021",182678,783322,"9/29/2021",2021-10-01
"2/7/2021",199974,983296,"9/29/2021",2021-10-01
"2/14/2021",202076,1185372,"9/29/2021",2021-10-01
"2/21/2021",269840,1455212,"9/29/2021",2021-10-01
"2/28/2021",294266,1749478,"9/29/2021",2021-10-01
"3/7/2021",293367,2042845,"9/29/2021",2021-10-01
"3/14/2021",302420,2345265,"9/29/2021",2021-10-01
"3/21/2021",345389,2690654,"9/29/2021",2021-10-01
"3/28/2021",375951,3066605,"9/29/2021",2021-10-01
"4/4/2021",415211,3481816,"9/29/2021",2021-10-01
"4/11/2021",370951,3852767,"9/29/2021",2021-10-01
"4/18/2021",355159,4207926,"9/29/2021",2021-10-01
"4/25/2021",309073,4516999,"9/29/2021",2021-10-01
"5/2/2021",245985,4762984,"9/29/2021",2021-10-01
"5/9/2021",246532,5009516,"9/29/2021",2021-10-01
"5/16/2021",247486,5257002,"9/29/2021",2021-10-01
"5/23/2021",132917,5389919,"9/29/2021",2021-10-01
"5/30/2021",98575,5488494,"9/29/2021",2021-10-01
"6/6/2021",119774,5608268,"9/29/2021",2021-10-01
"6/13/2021",78693,5686961,"9/29/2021",2021-10-01
"6/20/2021",54003,5740964,"9/29/2021",2021-10-01
"6/27/2021",43194,5784158,"9/29/2021",2021-10-01
"7/4/2021",36719,5820877,"9/29/2021",2021-10-01
"7/11/2021",36293,5857170,"9/29/2021",2021-10-01
"7/18/2021",41722,5898892,"9/29/2021",2021-10-01
"7/25/2021",47396,5946288,"9/29/2021",2021-10-01
"8/1/2021",57707,6003995,"9/29/2021",2021-10-01
"8/8/2021",57445,6061440,"9/29/2021",2021-10-01
"8/15/2021",64211,6125651,"9/29/2021",2021-10-01
"8/22/2021",68816,6194467,"9/29/2021",2021-10-01
"8/29/2021",67204,6261671,"9/29/2021",2021-10-01
"9/5/2021",50725,6312396,"9/29/2021",2021-10-01
"9/12/2021",50762,6363158,"9/29/2021",2021-10-01
"9/19/2021",53009,6416167,"9/29/2021",2021-10-01
"9/26/2021",41877,6458044,"9/29/2021",2021-10-01
