"DateBySpecimen","New.casesBySpecimenDate","Total.casesBySpecimenDate"
2020-03-05,1,1
2020-03-06,0,1
2020-03-07,1,2
2020-03-08,0,2
2020-03-09,3,5
2020-03-10,6,11
2020-03-11,10,21
2020-03-12,22,43
2020-03-13,19,62
2020-03-14,28,90
2020-03-15,38,128
2020-03-16,51,179
2020-03-17,67,246
2020-03-18,23,269
2020-03-19,18,287
2020-03-20,16,303
2020-03-21,24,327
2020-03-22,22,349
2020-03-23,44,393
2020-03-24,51,444
2020-03-25,58,502
2020-03-26,63,565
2020-03-27,75,640
2020-03-28,47,687
2020-03-29,38,725
2020-03-30,98,823
2020-03-31,93,916
2020-04-01,57,973
2020-04-02,83,1056
2020-04-03,63,1119
2020-04-04,39,1158
2020-04-05,60,1218
2020-04-06,112,1330
2020-04-07,103,1433
2020-04-08,102,1535
2020-04-09,103,1638
2020-04-10,95,1733
2020-04-11,74,1807
2020-04-12,58,1865
2020-04-13,148,2013
2020-04-14,156,2169
2020-04-15,157,2326
2020-04-16,171,2497
2020-04-17,182,2679
2020-04-18,121,2800
2020-04-19,126,2926
2020-04-20,276,3202
2020-04-21,262,3464
2020-04-22,309,3773
2020-04-23,525,4298
2020-04-24,519,4817
2020-04-25,339,5156
2020-04-26,386,5542
2020-04-27,680,6222
2020-04-28,604,6826
2020-04-29,682,7508
2020-04-30,648,8156
2020-05-01,622,8778
2020-05-02,335,9113
2020-05-03,340,9453
2020-05-04,823,10276
2020-05-05,644,10920
2020-05-06,635,11555
2020-05-07,817,12372
2020-05-08,712,13084
2020-05-09,281,13365
2020-05-10,231,13596
2020-05-11,826,14422
2020-05-12,663,15085
2020-05-13,731,15816
2020-05-14,794,16610
2020-05-15,799,17409
2020-05-16,344,17753
2020-05-17,311,18064
2020-05-18,973,19037
2020-05-19,857,19894
2020-05-20,767,20661
2020-05-21,982,21643
2020-05-22,789,22432
2020-05-23,399,22831
2020-05-24,359,23190
2020-05-25,412,23602
2020-05-26,795,24397
2020-05-27,682,25079
2020-05-28,576,25655
2020-05-29,457,26112
2020-05-30,168,26280
2020-05-31,142,26422
2020-06-01,583,27005
2020-06-02,486,27491
2020-06-03,522,28013
2020-06-04,405,28418
2020-06-05,411,28829
2020-06-06,163,28992
2020-06-07,138,29130
2020-06-08,479,29609
2020-06-09,460,30069
2020-06-10,404,30473
2020-06-11,345,30818
2020-06-12,308,31126
2020-06-13,153,31279
2020-06-14,150,31429
2020-06-15,400,31829
2020-06-16,412,32241
2020-06-17,429,32670
2020-06-18,388,33058
2020-06-19,341,33399
2020-06-20,218,33617
2020-06-21,198,33815
2020-06-22,485,34300
2020-06-23,590,34890
2020-06-24,513,35403
2020-06-25,485,35888
2020-06-26,527,36415
2020-06-27,281,36696
2020-06-28,239,36935
2020-06-29,575,37510
2020-06-30,579,38089
2020-07-01,623,38712
2020-07-02,544,39256
2020-07-03,397,39653
2020-07-04,98,39751
2020-07-05,246,39997
2020-07-06,709,40706
2020-07-07,632,41338
2020-07-08,693,42031
2020-07-09,533,42564
2020-07-10,399,42963
2020-07-11,102,43065
2020-07-12,93,43158
2020-07-13,10,43168
NA,2,43170
