"Metric","Detail1","Detail2","Detail3","Detail4","Data Date (MM/DD/YYYY)","GeographicLevel","GeographicName","Value_NUMBER","Units","MOST RECENT (1)","COVID Team","Source"
"Number of patients","ICU","IN USE","non-COVID+",,2020-10-01,"State","Minnesota",953,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Central",85,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Metro",612,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Northeast",75,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Northwest",13,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","South Central",5,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Southeast",152,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","Southwest",4,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","non-COVID+",,2020-10-01,"Regional Health Care","West Central",7,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-10-01,"State","Minnesota",109,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Central",12,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Metro",77,"patients",0,"Hospital Surge Capacity","Teletracking"
"Number of patients","ICU","IN USE","COVID+",,2020-10-01,"Regional Health Care","Northeast",4,"patients",0,"Hospital Surge Capacity","Teletracking"
